Name,score,userscore,menu,roca,url,coordinate
부산 봉래동,score,userscore,menu,roca,url,
삼진어묵,54점,4.0점,한식   어묵탕,부산광역시 영도구 봉래동2가 39-1 ,https://www.diningcode.com/profile.php?rid=fAC82oSnYTwz,"X :129.042792, Y :35.0929773"
청해수산,53점,5.0점,횟집   모둠회,부산광역시 영도구 봉래동3가 17-2 ,https://www.diningcode.com/profile.php?rid=sEqjGqKrkkwN,"X :129.043811, Y :35.0925275"
모모스 로스터리&커피바,53점,4.2점,카페   아메리카노,부산광역시 영도구 봉래동2가 131 ,https://www.diningcode.com/profile.php?rid=3WZjdTKERcnH,"X :129.042594, Y :35.0960445"
라발스 스카이 카페&바 부산라발스호텔점,50점,4.2점,루프탑   아메리카노,부산광역시 영도구 봉래동1가 29 라발스 호텔 28층 ,https://www.diningcode.com/profile.php?rid=zXNb2ImKSot7,"X :129.039146, Y :35.0945255"
진주식당,47점,4.0점,한식,부산광역시 영도구 봉래동1가 94-3 ,https://www.diningcode.com/profile.php?rid=WN5Bk4nWkYA0,"X :129.039969, Y :35.0932320"
화목정따로국밥,46점,4.7점,돼지국밥   따로국밥,부산광역시 영도구 봉래동1가 48-3 ,https://www.diningcode.com/profile.php?rid=G28rTZ2HY7xk,"X :129.039480, Y :35.0933935"
안락다락방,43점,4.3점,케이크   요거트,부산광역시 영도구 봉래동5가 109-8 ,https://www.diningcode.com/profile.php?rid=lZEmiGUOnxgy,"X :129.054753, Y :35.0938116"
서울집,41점,5.0점,곱창   곱창전골,부산시 영도구 봉래동2가 12 ,https://www.diningcode.com/profile.php?rid=nWmRH8ZqYDew,"X :129.041637, Y :35.0928615"
너와집,40점,5.0점,칼국수전문   닭칼국수,부산광역시 영도구 봉래동3가 179-1 ,https://www.diningcode.com/profile.php?rid=BXQHeCOyd3kE,"X :129.044910, Y :35.0952666"
무명일기,40점,3.4점,비건   아메리카노,부산광역시 영도구 봉래동2가 145-1 ,https://www.diningcode.com/profile.php?rid=BRggGJ4DZzNj,"X :129.043503, Y :35.0964618"
아르프,39점,3.7점,파스타   비건버거,부산광역시 영도구 봉래동2가 62-5 ,https://www.diningcode.com/profile.php?rid=jWkIVI0I2ZMw,"X :129.042572, Y :35.0929539"
블루샥 영도대교점,38점,5.0점,포차   라떼,부산광역시 영도구 봉래동1가 6-18 ,https://www.diningcode.com/profile.php?rid=XvavAeTNfGaY,"X :129.038862, Y :35.0936922"
삼형제오리,38점,4.0점,베이징덕   북경오리,부산광역시 영도구 봉래동1가 6-2 ,https://www.diningcode.com/profile.php?rid=rdHo2uNszdY8,"X :129.039285, Y :35.0935139"
