Column1,loc
0,봉래동
1,거제동
2,부전동
3,삼락동
4,명장동
5,두구동
6,녹산동
7,신창동
8,청룡동
9,눌차동
10,장전동
11,정관읍
12,명륜동
13,명지동
14,복천동
15,학장동
16,생곡동
17,토성동
18,보수동
19,암남동
20,강동동
21,청학동
22,대청동
23,구포동
24,범천동
25,당리동
26,죽림동
27,지사동
28,좌천동
29,용당동
30,대평동
31,충무동
32,부평동
33,주례동
34,수안동
35,개금동
36,좌동
37,다대동
38,민락동
39,광복동
40,안락동
41,금성동
42,덕포동
43,동삼동
44,양정동
45,대교동
46,석대동
47,금곡동
48,장안읍
49,구서동
50,하단동
51,식만동
52,서동
53,수영동
54,동대신동
55,문현동
56,초읍동
57,용호동
58,노포동
59,구랑동
60,부용동
61,중동
62,부곡동
63,동선동
64,봉림동
65,부민동
66,대저2동
67,부암동
68,송정동
69,장림동
70,재송동
71,남부민동
72,오륜동
73,범전동
74,남항동
75,칠산동
76,대항동
77,모라동
78,광안동
79,아미동
80,초량동
81,중앙동
82,전포동
83,사직동
84,대저1동
85,남천동
86,범일동
87,남포동
88,일광읍
89,기장읍
90,남산동
91,괴정동
92,신평동
93,성북동
94,감전동
95,금사동
96,수정동
97,미음동
98,대연동
99,반여동
100,당감동
101,회동동
102,영선동
103,천성동
104,엄궁동
105,낙민동
106,감천동
107,영주동
108,반송동
109,죽동동
110,신선동
111,일광면
112,괘법동
113,신호동
114,덕천동
115,망미동
116,우동
117,창선동
118,서대신동
119,연산동
120,정관면
121,동광동
122,감만동
123,구평동
124,대창동
125,초장동
126,만덕동
127,가야동
128,범방동
129,화명동
130,선동
131,우암동
132,온천동
133,연지동
134,철마면
135,화전동
