Name,score,userscore,tag,roca,url,menu,coordinate
부산 주례동,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
수육칼국수,46점,4.6점,칼국수   비빔밀면,부산광역시 사상구 주례동 509-9 ,https://www.diningcode.com/profile.php?rid=ednOUFaFr2dM,  수육칼국수 추천 :6000원   물밀면 :6000원   만두 :5000원   비빔밀면 :6500원   수육비빔밀면 추천 :7000원   칼국수 :5000원   얼큰이칼국수 :6000원   오뎅칼국수 :6000원   수육小 추천 :8000원   수육中 :12000원   수육大 :15000원  ,"X :129.004687, Y :35.1496929"
스타벅스 사상주례DT점,40점,4.7점,카페   아메리카노,부산광역시 사상구 주례동 854 ,https://www.diningcode.com/profile.php?rid=suMlJzFOck7v,  카페 아메리카노 :4500원   카페 라떼 :5000원   스타벅스 돌체 라떼 :5900원   카라멜 마키아또 :5900원   카푸치노 :5000원   카페 모카 :5500원   화이트 초콜릿 모카 :5900원   콜드 브루 :4900원   자몽 허니 블랙 티 :5700원   아이스 자몽 허니 블랙 티 :5700원   망고 바나나 블렌디드 :6300원   에스프레소 프라푸치노 :5500원   자바 칩 프라푸치노 :6300원  ,"X :128.996146, Y :35.1548895"
원조팔팔족발,40점,5.0점,족발   선지국,부산광역시 사상구 주례동 69-1 ,https://www.diningcode.com/profile.php?rid=AxdJguWkne7o,  일만족발 추천 :10000원   내맘대로 반반세트 :45000원   마늘족발(소) :29000원   소금구이족발(소) :28000원   냉채족발(소) :29000원   보쌈(소) 추천 :25000원  ,"X :129.011892, Y :35.1504387"
조방낙지,40점,3.7점,낙지   낙곱새,부산광역시 사상구 주례2동 190-3 ,https://www.diningcode.com/profile.php?rid=mhiK2rTn1CsC,  낙지 볶음 :9000원   낙새 볶음 :10000원   낙곱새 볶음 :11000원   매콩낙지 :11000원   불낙전골 小 :35000원   불낙전골 大 :48000원   곱창전골 小 :38000원   곱창전골 大 :50000원  ,"X :129.009876, Y :35.1514454"
주례면옥,39점,5.0점,냉면   물밀면,부산광역시 사상구 주례동 693-7 ,https://www.diningcode.com/profile.php?rid=z79glcsAGBet,  물밀면 :6000원   비빔밀면 :7000원  ,"X :128.997894, Y :35.1505531"
언덕집꼬리곰탕,39점,4.0점,곰탕   꼬리곰탕,부산광역시 사상구 주례동 1162-84 ,https://www.diningcode.com/profile.php?rid=6yALYfBk7RHI,  설렁탕 :8000원   꼬리곰탕 :18000원   도가니탕 :16000원   꼬리수육 소 :50000원   꼬리수육 중 :65000원   꼬리수육 대 :80000원   제주도등갈비찜 :34000원   시레기등갈비찜 :35000원  ,"X :129.000176, Y :35.1487581"
화반 동서대점,38점,4.0점,돼지불고기   비빔밥,부산광역시 사상구 주례동 92-370 ,https://www.diningcode.com/profile.php?rid=EZnT89F06mHl,  비빔밥+된장찌개 :8000원   비빔밥+김치찌개 :8000원   김치두루치기 :9500원   두루치기정식 :9000원   돼지불고기정식 :9000원  ,"X :129.008145, Y :35.1466708"
돈돈카츠 냉정점,37점,5.0점,돈카츠   수제돈까스,부산광역시 사상구 주례동 80-61 1층() ,https://www.diningcode.com/profile.php?rid=tZ51pXqeQMoV,없음,"X :129.013013, Y :35.1482843"
내 껍데기 돌리도!,37점,5.0점,돼지고기   된장라면,부산시 사상구 주례동 1160-8 ,https://www.diningcode.com/profile.php?rid=rK8mtAydS9gg,  돼지껍데기 :6000원   생삼겹살 :9000원   한판 :40000원  :3인상 :32000원  :2인상 :24000원   생목살 :9000원  ,"X :128.999711, Y :35.1499283"
주례하동재첩국,36점,5.0점,갈치구이   재첩국,부산광역시 사상구 주례동 509-1 ,https://www.diningcode.com/profile.php?rid=VcFJH0GX3h80,  재첩국+밥 :9000원   재첩국+비빔밥 :10000원   재첩회 :20000원   갈치구이 추가 :5000원   갈치구이(포장) :15000원   재첩국(포장) :15000원  ,"X :129.004662, Y :35.1500178"
주례칼국수,36점,3.0점,수육   칼국수,부산광역시 사상구 주례동 507-22 ,https://www.diningcode.com/profile.php?rid=ZrvtofEcVe3l,  칼국수 :5000원   수육칼국수 :6000원   오뎅칼국수 :6000원   얼큰이칼국수 :6000원   수육 小 추천 :8000원   수육 中 :12000원   수육 大 :15000원  ,"X :129.004216, Y :35.1497278"
카페 반미콩 부산주례점,35점,5.0점,카페   커피,부산광역시 사상구 주례동 1162-43 ,https://www.diningcode.com/profile.php?rid=JqykHVRVtVvI,  연유커피 :4800원   연유라떼 :5300원   반미햄에그 :6700원   반미쉬림프 :7500원   연유반미 :3500원   코코넛스무디커피 :5500원   히말라야소금커피 :5300원   코코넛요거크스무디 :5500원   코코넛카카오스무디 :5500원   패션플룻에이드 :5500원   반미비프 :7500원   반미포크 :7000원   반미햄치즈 :6700원  ,"X :129.000584, Y :35.1488505"
