Name,score,userscore,detail
동해물회,62점,4.8점,서면 | 물회   해물회
개미집 서면점,60점,4.1점,서면 | 낙지요리   낙곱새
기장손칼국수,60점,3.8점,서면 | 김밥   비빔칼국수
마라톤집,59점,5.0점,서면 | 요리주점
송정3대국밥,58점,3.9점,서면역 | 돼지국밥   수육
맛찬들왕소금구이 서면점,57점,4.1점,서면 | 삼겹살   숙성생삼겹살
수림식당 서면점,56점,4.6점,서면 | 중식당   중식
그집곱도리탕,56점,4.5점,서면 | 닭볶음탕   곱도리탕
고복샤브샤브,54점,4.4점,서면 | 샤브샤브   복샤브샤브
더브릭하우스,53점,4.7점,서면 | 파스타   크림파스타
칸다소바,53점,4.1점,서면 | 소바   마제소바
고래사어묵 부전본점,53점,4.4점,부전시장 | 부산어묵   어묵
경찰서옆초밥집,53점,4.4점,서면 | 스시   초밥
춘하추동,52점,4.0점,서면 | 만두   밀면
짚신 서면점,52점,4.7점,서면 | 갈비찜   매운갈비찜
쇼쿠팡,51점,3.7점,서면 | 베이커리   유기농식빵
오늘김해뒷고기 서면점,51점,4.6점,서면 | 돼지고기   뒷고기
마마된장,51점,4.3점,서면 | 열무비빔밥   우렁된장
모던테이블,51점,4.3점,서면 | 와플   아메리카노
구워삶기,51점,4.1점,서면 | 고기집   매콤불고기
포항돼지국밥,50점,3.8점,서면 | 돼지국밥   수육
이슈모리,50점,5.0점,서면 | 초밥   점심특선
정동진해물탕,50점,4.7점,서면 | 해물탕   해물찜
팔미분식,49점,4.2점,서면 | 분식   시락국
김씨반주,49점,4.7점,서면 | 술집   계란말이
블랙업커피 서면점,49점,4.2점,서면 | 카페   바닐라라떼
노르웨이식당,48점,4.6점,서면 | 퓨전음식   연어덮밥
아키수산,48점,4.6점,서면 | 이자카야   조개술찜
라멘야,48점,4.4점,서면 | 돈코츠라멘   매운돈코츠라멘
