Name,score,userscore,detail
스톤스트리트,51점,4.4점,남포동 | 샐러드   크림파스타
쿠노이치,40점,5.0점,남포동 | 일본   모츠나베
코코샤브,38점,5.0점,남포동 | 월남쌈   샤브샤브
그리다부부,36점,4.0점,남포동 | 카페   백차
소문난똥집이모,36점,3.4점,남포동 | 술집   닭똥집
He작,33점,0.0점,부산중구 | 야끼소바   버섯전골
좋은쌀로밥짓고,33점,리뷰없음,남포동 | 한정식   돌솥밥정식
영남쌀롱,33점,0점,남포동 | 와인   술집
목커피,32점,0점,남포동 | 카페   커피
행복한짜장,31점,리뷰없음,부산 | 중식당   하얀짬뽕
플루800 대청점,31점,5.0점,남포동 | 커피   카페
정성식당,31점,4.0점,남포동 | 두루치기   김치찜
오야꼬,31점,3.0점,부산 | 일본가정식   생선까스
모리쵸,31점,4.0점,남포동 | 일식당   장어덮밥
짜글이 식당,31점,리뷰없음,광복동 | 짜글이   두루치기
올레,31점,리뷰없음,남포동 | 커피전문점   카페
대청식육식당,31점,리뷰없음,부산중구 | 소고기   식육식당
카페 숲,31점,리뷰없음,부산중구 | 카페   디저트
원더번스 남포점,31점,리뷰없음,부산중구 | 커피   카페
쑝쑝돈까스 대청점,31점,리뷰없음,광복동 | 일본식돈까스   치즈돈까스
서리미쁘다,31점,리뷰없음,부산중구 | 디저트   케이크
달례식당,31점,리뷰없음,남포동 | 동태탕   동태
컵테이블,31점,리뷰없음,남포동 | 카페   까페
브로비어,15점,4.0점,부산중구 | 맥주   호프
돼지게티 남포점,15점,0점,부산중구 | 스파게티   파스타전문
베티빌리지,15점,0.0점,남포동 | 베이커리   소금빵
순남시래기,15점,리뷰없음,부산중구 | 시래기국   시래기불고기
맘스터치 부산대청점,15점,리뷰없음,부산중구 | 치킨   치킨버거
카페베란다,15점,리뷰없음,남포동 | 카페   cafe
교촌치킨,15점,리뷰없음,부산 | 치킨   닭다리
롯데리아,15점,리뷰없음,부산 | 버거   새우버거
삼돼지집,15점,리뷰없음,부산중구 | 고기집
일미밀면,15점,리뷰없음,남포동 | 국수   물밀면
베러먼데이 메리놀병원점,15점,리뷰없음,부산중앙역 | 카페   커피
장터수구레,15점,리뷰없음,중앙역 | 국밥   선지국밥
파로스,15점,리뷰없음,부산중구 | 그리스   브런치
에몽데,15점,리뷰없음,부산중구 | 프랑스식   라따뚜이
골드러쉬,15점,리뷰없음,중앙역 | 디저트카페
대청126 카페,15점,리뷰없음,부산 | 카페   아이스티
냠냠하우스,15점,리뷰없음,부산 | 도시락   컵밥
골목식당,15점,리뷰없음,국제시장 | 두루치기   오이무침
오는정케이크,15점,리뷰없음,남포동 | 수제케이크   케이크
항아리식당,15점,리뷰없음,부산 | 한식   전통음식
블랙레빗,15점,리뷰없음,부산중구 | bar
쭈니네부엌,15점,리뷰없음,부산중구 | 우동   김밥
동광유통,15점,리뷰없음,부산중구 | 일식당
