Name,score,userscore,detail
신발원,77점,4.2점,부산역 | 만두   군만두,부산광역시 동구 초량동 561-1 
마가만두,70점,4.1점,부산역 | 만두   군만두,부산광역시 동구 초량동 563 
본전돼지국밥,69점,4.1점,부산역 | 돼지국밥   수육백반,부산광역시 동구 초량동 1200-6 
초량밀면,63점,3.7점,부산역 | 국수   물밀면,부산시 동구 초량동 363-2 
원향재,60점,4.7점,부산역 | 중국집   간짜장,부산광역시 동구 초량동 561-2 
초량불백,56점,4.3점,초량 | 백반   불백,부산광역시 동구 초량동 667-8 
송원감자탕,52점,4.8점,초량 | 감자탕   볶음밥,부산광역시 동구 초량동 207-13 
브라운핸즈 백제,51점,3.5점,부산역 | 카페   아메리카노,부산광역시 동구 초량동 467 
장성향,51점,4.0점,부산역 | 짬뽕   군만두,부산광역시 동구 초량동 609-1 
하이디라오 부산역점,50점,4.7점,부산역 | 훠궈,부산 동구 초량동 1210-5 
대건명가 돼지국밥,49점,3.9점,부산역 | 돼지국밥   마늘보쌈,부산광역시 동구 초량동 1198-2 
밀양순대돼지국밥 부산점,49점,4.8점,부산역 | 순대국밥   순대,부산광역시 동구 초량동 348-2 
소문난불백,47점,3.4점,초량 | 돼지찌개   불백,부산시 동구 초량동 667-8 
우리돼지국밥,47점,4.3점,부산역 | 돼지국밥   따로국밥,부산광역시 동구 초량동 277-2 
일품향,47점,4.2점,부산역 | 만두   물만두,부산시 동구 초량동 616 
밀양갈비,47점,4.7점,초량 | 돼지고기   생갈비,부산광역시 동구 초량동 197-35 
부산국제시장단팥빵 부산역점,47점,4.0점,부산역 | 단팥빵   만쥬,부산광역시 동구 초량동 1187-1 
이조설렁탕,46점,4.0점,초량동 | 설렁탕   곰탕,부산광역시 동구 초량동 1197-5 
삼산면옥,46점,4.4점,초량 | 손만두   밀면,부산광역시 동구 초량동  295-18 
고민끝에여기,46점,4.6점,부산역 | 멕시코   브리또,부산광역시 동구  초량동 603-5 
비엔씨 부산역점,46점,4.3점,부산역 | 파이   딸기스무디,부산광역시 동구 초량동 1187-1 
평산옥,45점,3.3점,부산역 | 수육   돼지수육,부산광역시 동구 초량동 591-11 
제일류식당,45점,4.5점,초량동 | 낙곱새   돼지불백,부산광역시 동구 초량동 667-6 
남경해물낙지,44점,5.0점,부산역 | 낙지   연포탕,부산광역시 동구 초량동 1204-6 
88중국대반점,43점,4.7점,부산역 | 꿔바로우   마라샹궈,부산광역시 동구 초량동 1209-13 
육전밀면,43점,3.0점,부산역 | 밀면   육전,부산광역시 동구 초량동 384-4 
은하갈비,43점,4.0점,초량 | 돼지갈비   갈비,부산광역시 동구 초량동 264-1 
원조산수갑산,43점,4.0점,초량 | 돼지갈비   갈비,부산광역시 동구 초량동 197-23 
홍성방,43점,4.0점,부산역 | 중국집   중식냉면,부산광역시 동구 초량동 571 
부경불백,43점,4.0점,초량 | 백반   돼지불백,부산광역시 동구 초량동 667-12 
제주가,43점,4.0점,부산역 | 전복요리   성게국,부산광역시 동구 초량동 1204-8 
락천각,43점,5.0점,부산역 | 양꼬치   완자,부산광역시 동구 초량동 605-1 
영동밀면,43점,3.3점,부산역 | 국수   물밀면,부산광역시 동구 초량동 479 
1950 태성당,42점,4.7점,부산동구 | 베이커리,부산광역시 동구 초량동 1158-8 
영동밀면&돼지국밥,42점,4.0점,부산역 | 돼지국밥   물밀면,부산광역시 동구 초량동 472-1 
더도이 종가집 돼지국밥 부산역점,42점,4.3점,부산역 | 돼지국밥   국밥,부산광역시 동구 초량동 1204-12 한창빌딩 1층 
마봉자김밥 초량2호점,42점,4.0점,초량 | 김밥   돈까스김밥,부산광역시 동구 초량동 143-10 
신창국밥 부산역점,41점,2.9점,부산역 | 돼지국밥   수육백반,부산광역시 동구 초량동 1200-8 
환공어묵 부산역점,41점,0점,부산역 | 수제어묵   어묵,부산광역시 동구 초량동 1187-1 
원조부산밀면,41점,3.6점,부산역 | 수육   물밀면,부산광역시 동구 초량동 349-1 
이백현옛날돈까스,41점,5.0점,초량 | 돈까스   옛날돈까스,부산광역시 동구 초량동 1163-9 
경북산꼼장어,41점,5.0점,초량 | 꼼장어   산꼼장어,부산광역시 동구 초량동 275 
부산역 부산오뎅,41점,4.0점,부산역 | 부산오뎅,부산광역시 동구 초량동 1203-5 
달과6펜스,41점,4.0점,부산역 | 경양식   돈까스,부산광역시 동구 초량동 1196-7 
떡공방형제,41점,4.0점,부산역 | 모과차   떡카페,부산 동구 초량동 1187-1 
양산국밥,41점,4.5점,부산역 | 돼지국밥   국밥,부산광역시 동구 초량1동 1203-5 
선화당,40점,리뷰없음,초량 | 우동   분식,부산광역시 동구 초량6동 818-1 
스완양분식,40점,3.1점,부산역 | 돈까스   김치볶음밥,부산광역시 동구 범일동 252-1637 
양산국밥,40점,3.8점,부산역 | 돼지국밥   국밥,부산광역시 동구 초량동 1187-20 부산역 1층광장 
산동 완탕 교자관,40점,4.0점,초량 | 중식당   마파두부,부산광역시 동구 초량동 1191-1 
초량통닭,40점,4.5점,초량 | 통닭   옛날통닭,부산광역시 동구 초량동 200 초량상가아파트 
양지아구찜,39점,5.0점,초량 | 아구찜   섞어찜,부산광역시 동구 초량동 207-8 
파리바게뜨 부산1층맞이방점,39점,4.0점,부산동구 | 케이크   베이커리,부산광역시 동구 초량동 1203-5 
남스시,39점,4.2점,부산역 | 초밥   스시,부산광역시 동구 초량동 1198-6 
시먼띵,39점,4.0점,부산역 | 중식당   우육탕면,부산광역시 동구 초량동 577-1 
오성집,39점,4.7점,초량 | 돼지고기   콩나물찜,부산광역시 동구 초량동 254 
스타벅스 부산역라마다점,38점,3.9점,부산역 | 카페   아이스아메리카노,부산광역시 동구 초량동 1204-1 
화성통삼겹,38점,5.0점,초량 | 돼지고기   대패삼겹살,부산광역시 동구 초량동 207-9 
미식가의구이 부산역점,38점,3.2점,부산역 | 구이   이베리코,부산 동구 초량동 207-7 
스타벅스,38점,4.0점,부산역 | 샌드위치   어묵,부산광역시 동구 초량동 1199-9 
금채복이네산꼼장어,38점,4.6점,초량역 | 꼼장어   해물요리,부산광역시 동구 초량동 275 
훈춘양고기,38점,5.0점,부산동구 | 양꼬치   양고기,부산광역시 동구 초량동 172-6 
텐퍼센트커피 부산역,37점,5.0점,부산동구 | 커피   카페,부산광역시 동구 초량동 1201-1 
이유 (EU),37점,3.5점,부산동구 | 파스타   리조또,부산광역시 동구 초량동 135-6 
동대문엽기떡볶이,37점,3.9점,부산역 | 떡볶이   떡,부산광역시 동구 초량동 1207-5 
스모크그릴,37점,3.5점,부산역 | 러시아요리,부산광역시 동구 초량동 1208-28 
온지,37점,4.3점,부산역 | 커피   디저트,부산광역시 동구 초량동 1204-1 
돈누리,37점,5.0점,부산 | 돼지껍데기   고기집,부산광역시 동구 초량동 138-5 
명란 브랜드연구소,37점,4.1점,초량 | 명란오일파스타   카페,부산광역시 동구 초량동 994-351 
홍성방 본관,37점,2.1점,부산역 | 만두   군만두,부산시 동구 초량동 1210-1 
루이168,37점,0.0점,부산역 | 커피   카페,부산광역시 동구 초량동 994-59 3층 
참맛카롱,37점,5.0점,초량 | 카페   쑥떡,부산광역시 동구 초량동 45-10 
포레스트,37점,5.0점,부산역 | 샌드위치   카페,부산광역시 동구 초량동 1194-6 
덕미생선구이,37점,5.0점,부산역 | 생선구이   모듬구이,부산광역시 동구 초량동 415-18 
던킨도너츠 부산역라마다점,37점,4.6점,부산역 | 도너츠,부산광역시 동구 초량동 1204-1 
사해방,36점,4.0점,부산역 | 중식   간짜장,부산광역시 동구 초량동 553-3 
부광숯불갈비,36점,5.0점,초량 | 돼지갈비   갈비,부산광역시 동구 초량동 197-13 
