Name,score,userscore,detail
개금밀면,51점,3.8점,부산 | 국수   물밀면,부산광역시 부산진구 개금동 171-34 
이태리살롱,40점,4.0점,개금역 | 파스타   레스토랑,부산 부산진구 개금동 177-252 1층 
용화집,40점,3.0점,부산 | 아구찜   해물아구찜,부산광역시 부산진구 개금동 258-1 
족발쌀롱 개금점,39점,4.0점,부산 | 불족발   족발,부산광역시 부산진구 개금동 177-276 
성원칼국수,39점,4.3점,부산 | 칼국수   장칼국수,부산광역시 부산진구 개금동 546-3 
담미옥,39점,4.0점,부산 | 온반   평양냉면,부산광역시 부산진구 개금동 523-27 개금포르투나 
가야밀면 본점,38점,2.8점,동의대 | 국수   물밀면,부산시 부산진구 개금동 166-11 
설빙,38점,4.0점,부산 | 빙수   생딸기,부산광역시 부산진구 개금동 200-31 
본가,38점,5.0점,부산 | 우삼겹   숯불우삼겹,부산광역시 부산진구 개금동 444-7 
양가손만두 본점,38점,4.0점,부산 | 만두   손만두,부산광역시 부산진구 개금동 171-69 
로띠번,37점,5.0점,부산 | 카페   모카번,부산광역시 부산진구 개금동 447-7 
이삭토스트 부산개금점,37점,4.0점,부산 | 토스트,부산광역시 부산진구 개금동 596 
수라간밥상,35점,5.0점,개금역 | 한식   게장정식,부산광역시 부산진구 개금동 204-6 
위파티 부산본점,35점,5.0점,부산 | 카페   소금빵,부산광역시 부산진구 개금동 528-20 
가츠모토,35점,4.0점,부산 | 돈가츠   돈까스,부산광역시 부산진구 개금동 1-20 
불끈낙지,35점,3.8점,부산 | 낙지볶음   낙지,부산광역시 부산진구 개금동 496-6 
고집센그집갈비탕,35점,5.0점,부산 | 갈비찜   갈비탕,부산광역시 부산진구 개금동 546-11 
맛나감자탕,34점,4.7점,개금역 | 감자탕   해장국,부산광역시 부산진구 개금동 511-1 
무한삼겹시대,34점,5.0점,부산 | 우삼겹   고기무한리필,부산 부산진구 개금동 619-1 
개금코다리,33점,4.1점,개금역 | 코다리찜   코다리,부산광역시 부산진구 개금동 511-1 
명랑시대쌀핫도그,33점,4.5점,부산 | 감자핫도그   핫도그,부산광역시 부산진구 개금동 540-190 
파스쿠찌 부산개금백병원점,33점,5.0점,부산 | 커피   카페,부산 부산진구 개금동 527-220 
몽짬뽕,33점,4.0점,부산 | 짬뽕   고기짬뽕,부산광역시 부산진구 개금동 540-54 
이자카야아홉시,33점,3.0점,부산 | 이자카야   야키토리,부산광역시 부산진구 개금동 177-208 
장보고수산센터 개금점,33점,3.0점,부산 | 횟집   봄도다리,부산광역시 부산진구 개금동 554-3 
커피스토어 부산개금점,32점,3.0점,부산진구 | 와플   누텔라,부산광역시 부산진구 개금동 527-198 
임금님수라갈비,32점,4.0점,부산 | 돼지갈비무한리필,부산 부산진구 개금동 177-252 2층 
제주흑도야지,32점,5.0점,부산 | 흑돼지   고기집,부산광역시 부산진구 개금동 478-8 
북경,32점,5.0점,부산 | 중식당   중화비빔밥,부산광역시 부산진구 개금동 875 금강펜테리움더스퀘어아파트 상가동 
스타벅스,32점,3.0점,개금역 | 카페   슈크림라떼,부산광역시 부산진구 개금동 177-289 
온클라우드나인,32점,4.0점,개금역 | 브런치카페   클라우드,부산광역시 부산진구 개금동 523-13 
동래밀면 개금점,32점,리뷰없음,부산 | 냉면   비빔밀면,부산광역시 부산진구 개금동 618-2 
밀양돼지국밥,32점,리뷰없음,부산 | 국밥집   돼지국밥,부산광역시 부산진구 개금동 184-24 
깡통회관,32점,4.0점,부산 | 삼겹살   고기집,부산 부산진구 개금동 169-35 
밀양삼대국밥 개금점,32점,4.0점,부산 | 돼지국밥,부산 부산진구 개금동 540-252 
애플김밥,32점,리뷰없음,부산 | 분식   김밥,부산광역시 부산진구 개금동 618-11 
홍마반점0410,31점,리뷰없음,부산 | 짬뽕   고추짜장,부산광역시 부산진구 개금동 444-7 
달봉이족발,31점,리뷰없음,부산 | 족발   냉채족발,부산광역시 부산진구 개금동 177-127 
푸라닭,31점,4.5점,부산 | 치킨   닭,부산광역시 부산진구 개금동 618-2 
60계 치킨,31점,리뷰없음,부산 | 치킨   고추치킨,부산광역시 부산진구 개금동 554-51 
