Name,score,userscore,detail
감성조개,54점,4.7점,태종대 | 조개구이   조개,부산광역시 영도구 동삼동 984-4 
원조밀면,54점,4.3점,영도 | 국수   물밀면,부산광역시 영도구 동삼동 501-2 
와글와글,51점,4.0점,영도 | 즉석떡볶이   치즈떡볶이,부산광역시 영도구 동삼동 554-3 
피아크,48점,4.0점,영도 | 라떼   베이커리카페,부산광역시 영도구 동삼동 201-6 
백설대학,48점,4.3점,영도 | 떡볶이,부산광역시 영도구 동삼동 322-7 
영도해녀촌,46점,4.0점,부산영도 | 김밥   해물라면,부산광역시 영도구 동삼동 640-3 
제주복국,45점,4.2점,영도 | 복국   까치복,부산시 영도구 동삼동 487 
신흥반점,44점,4.7점,영도 | 짬뽕   깐풍기,부산광역시 영도구 동삼동 328 
카페 385,44점,3.8점,영도 | 카페   아메리카노,부산광역시 영도구 동삼동 176-2 
전주식당,43점,4.6점,태종대 | 불낙   낙곱새,부산광역시 영도구 동삼동 1024-5 
사랑방,43점,3.7점,태종대 | 조개구이   조개구이전문,부산광역시 영도구 동삼동 983-9 
카페 커파아 해양박물관점,41점,4.6점,부산영도 | 아이스크림   카페,부산광역시 영도구 동삼동 1156 
물망초,40점,5.0점,태종대 | 조개구이   감바스,부산광역시 영도구 동삼동 산19-1 
옥천횟집,40점,3.5점,영도 | 횟집   해물라면,부산광역시 영도구 동삼동 640-2 
에르마나,40점,3.8점,영도 | 라자냐   이탈리안레스토랑,부산광역시 영도구 동삼동 325-234 
목장원,40점,3.1점,영도 | 이탈리안   로스,부산광역시 영도구 동삼동 628-1 
석화정,39점,5.0점,영도 | 굴국밥   석화,부산광역시 영도구 동삼동 343-8 
태종대 짬뽕,39점,3.8점,태종대 | 짬뽕   짜장,부산 영도구 동삼동 986-9 
어리목도새기촌,39점,4.6점,영도 | 생고기   된장찌개,부산광역시 영도구 동삼동 485 
토로,39점,3.9점,영도 | 트러플파스타   스테이크,부산광역시 영도구 동삼동 712-4 골목으로 끝까지 올라오셔요 
닭먹고오리발,38점,4.8점,영도 | 치킨   오리,부산광역시 영도구 동삼동 1124-1 함지그린아파트 
골목경양식,37점,4.0점,영도 | 함박스테이크   경양식,부산광역시 영도구 동삼동 318-1 
사카나,37점,4.2점,영도 | 이자카야   모듬사시미,부산광역시 영도구 동삼동 344-11 
The november 라운지 부산영도점,37점,5.0점,영도 | 펍   카페,부산광역시 영도구 동삼동 1180 
소복키친,37점,4.0점,영도 | 칼국수   복칼국수,부산광역시 영도구 동삼동 342-21 
시마,37점,4.3점,영도 | 덮밥   일본라멘,부산광역시 영도구 동삼동 219-146 
콩백이야기,37점,5.0점,영도 | 고기집   콩나물불고기,부산광역시 영도구 동삼동 236-10 
올레,36점,5.0점,태종대 | 산낙지   조개구이,부산광역시 영도구 동삼동 산19-1 
맛나감자탕,36점,4.4점,영도 | 감자탕   해물뼈찜,부산광역시 영도구 동삼동 326-9 
청해복국,36점,4.0점,영도 | 복국   복튀김,부산광역시 영도구 동삼동 317-8 
충북집 누나야,36점,3.7점,태종대 | 조개구이   가리비,부산광역시 영도구 동삼동 1035-15 
태종대불백,36점,5.0점,태종대 | 고기집   불고기백반,부산광역시 영도구 동삼동 1124-1 
아이러브자갈마당,36점,4.4점,태종대 | 조개구이   버터새우구이,부산시 영도구 동삼동 1052-1 
해녀집,36점,5.0점,태종대 | 조개구이   해물모듬,부산시 영도구 동삼동 1052 
통나무집,35점,4.0점,영도 | 장어구이   바다장어,부산광역시 영도구 동삼동 447-1 
중리해녀촌,35점,4.0점,영도 | 해물요리,부산광역시 영도구 동삼동 산65-5 
엔제리너스 부산태종대점,35점,4.0점,태종대 | 카페,부산광역시 영도구 동삼동 983-7 
티엔미미 블랙,35점,1.0점,영도 | 딤섬   중식당,부산광역시 영도구 동삼동 1175 2층 
시골통돼지볶음 영도점,35점,3.0점,영도 | 김치찌개   돼지볶음,부산광역시 영도구 동삼동 216-1 2층 
올바릇식당 영도점,35점,3.6점,영도 | 꼬막   육전,부산광역시 영도구 동삼동 201-2 
크리스탈제이드 부산피아크점,35점,3.0점,부산영도 | 깐풍기   중식당,부산광역시 영도구 동삼동 201-6 피아크 5층 
청춘식당,34점,4.0점,영도 | 파스타   빠네크림파스타,부산광역시 영도구 동삼동 510-19 
날마다 대박나는집,34점,5.0점,영도 | 고기집   대패삼겹살,부산광역시 영도구 동삼동 225-15 
경기도식당,34점,4.4점,태종대 | 청국장   기사식당,부산광역시 영도구 동삼동 1014-1 
장군돼지국밥,34점,4.3점,태종대 | 돼지국밥   수육백반,부산광역시 영도구 동삼동 814 
빡벳 부산영도오션시티점,34점,5.0점,부산 | 카페   디저트,부산광역시 영도구 동삼동 1180 
희야손칼국수,34점,3.0점,영도 | 칼국수   손칼국수,부산광역시 영도구 동삼동 774-14 
