Name,score,userscore,detail
돼지만마리,31점,리뷰없음,부산 | 돼지고기,부산광역시 강서구 동선동 257 
지인식당,31점,리뷰없음,부산 | 커피숍   커피,부산광역시 강서구 동선동 1061-8 
밀양산내돼지국밥,31점,리뷰없음,부산 | 돼지국밥   수육백반,부산광역시 강서구 동선동 1063-10 
Cafe동선동,31점,리뷰없음,부산강서구 | 카페   디저트,부산광역시 강서구 동선동 1060-10 
이야기창고,31점,리뷰없음,부산 | 카페,부산광역시 강서구 동선동 871 
남도보리밥,15점,리뷰없음,부산강서구 | 보리밥   칼국수,부산광역시 강서구 동선동 1062-6 
베니스,15점,리뷰없음,부산강서구 | 카페   디저트,부산광역시 강서구 동선동 1061-9 
연대봉식당,15점,리뷰없음,부산강서구 | 한식   돼지갈비,부산광역시 강서구 동선동 1060-6 
Light house,15점,리뷰없음,부산강서구 | 커피   카페,부산광역시 강서구 동선동 205-3 
가덕명가,15점,리뷰없음,부산강서구 | 칼국수   닭칼국수,부산광역시 강서구 동선동 1064-5 
봄252,15점,리뷰없음,부산강서구 | 카페   디저트,부산광역시 강서구 동선동 198 
서리의 골목식당,15점,리뷰없음,부산 | 순두부찌개   제육덮밥,부산광역시 강서구 동선동 1061-5 
옛날한우곰탕,15점,리뷰없음,부산강서구 | 곰탕,부산광역시 강서구 동선동 1062-1 
1호선치킨,15점,리뷰없음,부산 | 통닭   치킨,부산광역시 강서구 동선동 1061-6 
짜장나라,15점,리뷰없음,부산강서구 | 짜장면   짬뽕,부산광역시 강서구 동선동 1060-8 
부산 동선동,score,userscore,detailsroca+
